weeks_included,model,team_name,model_name,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name,eval_date
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,CH,1.11,1.23,0.75,1,0.2,4,1,Switzerland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,CH,0.8,1.07,0.75,1,-0.2,8,1,Switzerland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,CH,0.91,1.16,0.75,1,-0.21,8,1,Switzerland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,CH,0.78,1.06,0.71,1,-0.24,7,1,Switzerland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,CH,0.89,1.05,0.71,1,-0.21,7,1,Switzerland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,CH,0.86,1.17,0.67,1,-0.13,6,1,Switzerland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,CH,0.93,1.17,0.67,1,-0.15,6,1,Switzerland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,CH,1.03,1.25,0.8,1,-0.18,5,1,Switzerland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,CH,1.04,1.25,0.8,1,-0.12,5,1,Switzerland,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,CZ,0.12,0.47,1,1,-0.17,4,1,Czechia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,CZ,0.09,0.35,1,1,-0.1,4,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,CZ,0.5,0.4,0.88,1,0.21,8,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,CZ,0.59,0.38,0.88,1,0.31,8,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,CZ,0.53,0.51,0.57,1,0.36,7,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,CZ,0.53,0.5,0.57,1,0.37,7,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,CZ,0.55,0.51,0.5,1,0.53,6,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,CZ,0.51,0.46,0.5,1,0.42,6,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,CZ,0.57,0.52,0.4,1,0.68,5,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,CZ,0.54,0.44,0.2,1,0.66,5,1,Czechia,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,CZ,0.1,0.27,1,1,-0.05,4,1,Czechia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,CZ,0.08,0.25,1,1,-0.05,4,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,CZ,0.34,0.29,0.88,1,0.14,8,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,CZ,0.42,0.27,0.75,1,0.16,8,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,CZ,0.44,0.43,0.71,1,0.39,7,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,CZ,0.52,0.49,0.57,1,0.39,7,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,CZ,0.56,0.49,0.33,0.83,0.63,6,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,CZ,0.58,0.51,0.33,1,0.65,6,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,CZ,0.63,0.54,0.2,0.8,0.76,5,1,Czechia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,CZ,0.63,0.51,0.2,1,0.76,5,1,Czechia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,DE,1.09,0.96,1,1,-0.12,5,1,Germany,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,DE,1.18,0.98,0.2,1,-0.14,5,1,Germany,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,DE,0.84,0.93,0.75,1,-0.22,4,1,Germany,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,DE,0.8,0.97,0.75,1,-0.25,4,1,Germany,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,DE,0.94,0.92,0.88,1,0.09,8,1,Germany,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,DE,0.93,0.94,0.75,1,0.15,8,1,Germany,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,DE,1.01,0.96,0.71,1,0.19,7,1,Germany,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,DE,1.02,0.93,0.71,1,0.23,7,1,Germany,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,DE,0.96,0.95,0.5,1,0.18,6,1,Germany,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,DE,1.02,0.92,0.5,1,0.22,6,1,Germany,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,DE,1.12,1.07,0.8,1,0.24,5,1,Germany,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,DE,1.1,1.04,0.4,1,0.26,5,1,Germany,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,DK,0.23,0.76,1,1,0,4,1,Denmark,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,DK,0.29,0.78,1,1,0.05,4,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,DK,0.83,0.77,0.5,0.75,0.01,8,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,DK,0.84,0.81,0.62,0.75,-0.01,8,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,DK,0.93,1.07,0.71,0.86,0.03,7,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,DK,0.84,0.93,0.71,0.86,-0.07,7,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,DK,1.74,1.43,0.5,1,0.28,6,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,DK,1.4,1.18,0.67,1,0.2,6,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,DK,2.06,1.94,0.4,1,0.1,5,1,Denmark,2021-05-03
