weeks_included,model,team_name,model_name,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name,eval_date
All,Unweighted median,EuroCOVIDhub,median,Cases,3,GB,0.88,0.81,0.33,0.83,-0,6,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,GB,0.65,0.61,0.2,0.8,0.4,5,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,GB,0.68,0.62,0.2,1,0.32,5,1,United Kingdom,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,GB,0.12,0.28,1,1,-0.03,4,1,United Kingdom,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,GB,0.14,0.32,0.5,1,-0.05,4,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,GB,0.44,0.3,0.75,1,0.39,8,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,GB,0.42,0.28,0.38,0.88,0.46,8,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,GB,0.27,0.27,0.57,1,0.44,7,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,GB,0.27,0.28,0.43,0.86,0.5,7,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,GB,0.26,0.24,0.33,1,0.57,6,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,GB,0.26,0.25,0.33,0.83,0.53,6,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,GB,0.24,0.25,0.2,0.8,0.74,5,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,GB,0.22,0.23,0.4,0.6,0.72,5,1,United Kingdom,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,GR,1,1.09,0.75,1,0.38,4,1,Greece,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,GR,1.14,1.1,0.75,1,0.45,4,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,GR,1.08,1.05,0.88,1,0.22,8,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,GR,1.18,1.06,0.88,1,0.31,8,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,GR,1.09,1.14,0.71,1,0.3,7,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,GR,1.27,1.23,0.29,1,0.4,7,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,GR,1.06,1.32,0.67,1,0.33,6,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,GR,1.25,1.42,0.5,1,0.42,6,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,GR,1.19,1.71,0.8,1,0.38,5,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,GR,1.42,1.74,0.8,1,0.34,5,1,Greece,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,GR,0.38,0.63,1,1,0.12,4,1,Greece,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,GR,0.35,0.56,1,1,0.15,4,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,GR,0.53,0.71,0.88,1,-0.07,8,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,GR,0.6,0.66,0.88,1,-0.1,8,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,GR,0.42,0.5,1,1,0.06,7,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,GR,0.46,0.5,1,1,0,7,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,GR,0.42,0.5,1,1,0.12,6,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,GR,0.38,0.5,1,1,0.12,6,1,Greece,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,GR,0.42,0.57,0.8,1,0.1,5,1,Greece,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,GR,0.36,0.55,0.8,1,0.06,5,1,Greece,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,HR,1.04,1.07,0.75,1,0.32,4,1,Croatia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,HR,1.39,1.2,0.75,1,0.32,4,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,HR,0.72,0.99,0.75,1,-0.05,8,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,HR,0.85,1.06,0.62,1,-0.06,8,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,HR,0.9,0.82,0.29,1,0.06,7,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,HR,0.93,0.81,0.29,1,-0.03,7,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,HR,1.24,1.1,0.17,1,0.15,6,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,HR,1.1,0.99,0.33,1,0.02,6,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,HR,1.54,1.46,0.4,1,0.14,5,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,HR,1.49,1.41,0.4,0.8,0.08,5,1,Croatia,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,HR,0.72,0.59,0.75,1,-0.05,4,1,Croatia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,HR,0.61,0.5,0.75,1,-0.12,4,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,HR,0.35,0.52,1,1,-0.11,8,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,HR,0.49,0.48,0.62,1,-0.14,8,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,HR,0.47,0.44,0.86,1,-0.13,7,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,HR,0.41,0.41,0.71,1,-0.21,7,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,HR,0.58,0.51,0.33,1,-0.2,6,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,HR,0.5,0.51,0.5,1,-0.28,6,1,Croatia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,HR,0.59,0.52,0.4,1,-0.3,5,1,Croatia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,HR,0.57,0.61,0.2,0.6,-0.4,5,1,Croatia,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,HU,0.61,0.45,0.5,1,0.35,4,1,Hungary,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,HU,0.59,0.39,0.25,1,0.17,4,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,HU,0.69,0.53,0.62,1,0.38,8,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,HU,0.63,0.5,0.5,0.88,0.44,8,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,HU,0.94,0.72,0.29,0.86,0.64,7,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,HU,0.9,0.67,0.29,0.86,0.61,7,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,HU,1.36,1.05,0.17,0.67,0.78,6,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,HU,1.21,0.91,0.33,0.83,0.73,6,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,HU,2.05,1.65,0,0.6,0.88,5,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,HU,1.6,1.26,0.2,0.6,0.84,5,1,Hungary,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,HU,0.64,0.61,0.5,1,0.15,4,1,Hungary,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,HU,0.7,0.6,1,1,-0.03,4,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,HU,0.47,0.57,1,1,0,8,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,HU,0.49,0.55,1,1,-0.09,8,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,HU,0.3,0.36,0.86,1,0.19,7,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,HU,0.45,0.4,0.86,1,-0.04,7,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,HU,0.58,0.48,0.67,1,0.33,6,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,HU,0.74,0.55,0.5,1,0.18,6,1,Hungary,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,HU,1.09,0.83,0.4,1,0.6,5,1,Hungary,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,HU,1.11,0.79,0.8,1,0.3,5,1,Hungary,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,IE,1.3,0.85,0.75,1,-0.1,4,1,Ireland,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,IE,1.33,0.87,0.5,1,-0.08,4,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,IE,0.91,0.82,0.75,1,-0.08,8,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,IE,1.12,0.8,0.62,1,-0.17,8,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,IE,1.96,1.63,0.29,1,-0.13,7,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,IE,1.68,1.01,0.29,1,-0.24,7,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,IE,3.3,3.37,0.33,1,-0.03,6,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,IE,1.89,0.97,0.33,1,-0.12,6,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,IE,4.17,4,0.6,1,0.08,5,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,IE,1.44,0.78,0.6,1,0.04,5,1,Ireland,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,IE,0.57,0.89,0.75,1,0.17,4,1,Ireland,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,IE,0.7,0.99,0.5,1,0.15,4,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,IE,0.71,0.86,0.88,1,0.1,8,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,IE,0.78,0.92,0.75,1,0.09,8,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,IE,0.51,0.56,0.86,1,0.17,7,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,IE,0.54,0.51,1,1,0.14,7,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,IE,0.27,0.58,1,1,0.17,6,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,IE,0.38,0.45,0.83,1,0.17,6,1,Ireland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,IE,0.5,0.97,1,1,0.14,5,1,Ireland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,IE,0.42,0.49,0.8,1,0.1,5,1,Ireland,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,IS,1.55,1.37,0.25,0.75,-0,4,1,Iceland,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,IS,1.39,1.09,0.75,0.75,-0.12,4,1,Iceland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,IS,1.06,1.32,0.38,0.88,-0.2,8,1,Iceland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,IS,1.16,1.12,0.5,0.88,-0.41,8,1,Iceland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,IS,0.89,1.41,0.43,0.86,-0.21,7,1,Iceland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,IS,0.99,1.09,0.14,0.57,-0.5,7,1,Iceland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,IS,1.93,3.42,0.5,0.83,0.18,6,1,Iceland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,IS,1.17,1.24,0.5,0.83,-0.43,6,1,Iceland,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,IS,5.63,8.68,0.2,0.8,0.3,5,1,Iceland,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,IS,1.13,1.32,0.6,0.8,-0.44,5,1,Iceland,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,IT,0.79,0.75,0.75,1,0.15,4,1,Italy,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,IT,0.97,0.76,0.5,1,0.18,4,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,IT,0.78,0.77,0.75,0.88,0.29,8,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,IT,0.86,0.75,0.88,1,0.3,8,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,IT,0.88,0.87,0.71,1,0.37,7,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,IT,0.9,0.84,0.71,1,0.36,7,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,IT,1.03,0.98,0.33,1,0.52,6,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,IT,1.02,0.84,0.67,1,0.42,6,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,IT,1.25,1.16,0,1,0.7,5,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,IT,1.21,0.93,0.4,1,0.6,5,1,Italy,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,IT,0.58,0.53,0.75,1,0.2,4,1,Italy,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,IT,0.46,0.5,0.75,1,0.07,4,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,IT,0.51,0.48,1,1,0.01,8,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,IT,0.38,0.45,0.75,1,-0.05,8,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,IT,0.42,0.47,0.86,1,0.06,7,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,IT,0.3,0.46,0.86,1,0.03,7,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,IT,0.43,0.51,0.67,1,0.22,6,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,IT,0.46,0.53,0.67,1,0.15,6,1,Italy,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,IT,0.61,0.71,0.6,1,0.26,5,1,Italy,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,IT,0.68,0.7,0.4,1,0.24,5,1,Italy,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,LT,0.32,0.81,1,1,0.05,4,1,Lithuania,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,LT,0.29,0.74,1,1,0.02,4,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,LT,0.56,0.72,0.75,1,-0.16,8,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,LT,0.6,0.69,0.75,1,-0.21,8,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,LT,0.67,0.83,0.71,1,-0.24,7,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,LT,0.71,0.83,0.71,1,-0.26,7,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,LT,0.82,0.95,0.5,1,-0.35,6,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,LT,0.86,0.99,0.5,1,-0.42,6,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,LT,0.84,1.04,0.4,1,-0.48,5,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,LT,0.84,1.06,0.4,1,-0.54,5,1,Lithuania,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,LT,0.38,0.85,1,1,-0.1,4,1,Lithuania,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,LT,0.47,0.85,1,1,-0.2,4,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,LT,0.72,0.94,0.88,1,0.05,8,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,LT,0.62,0.9,0.75,1,-0.03,8,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,LT,0.5,0.86,0.86,1,0.04,7,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,LT,0.69,0.91,0.71,1,0,7,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,LT,0.62,0.8,1,1,0,6,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,LT,0.73,0.91,1,1,0.03,6,1,Lithuania,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,LT,0.8,0.95,0.8,1,-0.1,5,1,Lithuania,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,LT,0.87,1,0.8,1,-0.08,5,1,Lithuania,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,LU,0.98,1.3,1,1,0.17,4,1,Luxembourg,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,LU,1.33,1.4,0.75,1,0.32,4,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,LU,1.09,1.32,1,1,-0.14,8,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,LU,1.17,1.21,0.88,1,-0.19,8,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,LU,1.01,1.08,1,1,-0.1,7,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,LU,1.15,1.18,0.71,1,-0.19,7,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,LU,1.09,1.12,0.83,1,0.02,6,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,LU,1.25,1.25,0.67,1,-0.05,6,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,LU,1.22,1.15,0.8,1,0.02,5,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,LU,1.42,1.19,0.8,1,-0.02,5,1,Luxembourg,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,LU,0.71,0.95,0.5,0.75,0.3,4,1,Luxembourg,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,LU,0.84,0.95,0.5,1,0.3,4,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,LU,1.03,0.83,0.25,0.88,0.15,8,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,LU,0.96,0.84,0.25,0.88,0.09,8,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,LU,0.98,1,0.29,0.86,0.3,7,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,LU,0.99,1,0.29,0.86,0.24,7,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,LU,1.1,1.18,0.33,0.83,0.45,6,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,LU,1.08,1.11,0.17,0.83,0.4,6,1,Luxembourg,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,LU,1.21,1.36,0.4,0.8,0.58,5,1,Luxembourg,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,LU,1.11,1.12,0.4,0.8,0.52,5,1,Luxembourg,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,LV,1.02,1.09,0.75,1,-0.45,4,1,Latvia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,LV,0.89,1.03,0.75,1,-0.3,4,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,LV,1.08,1.14,0.88,1,-0.24,8,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,LV,0.98,1.09,0.75,1,-0.19,8,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,LV,1,1.18,0.71,1,-0.36,7,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,LV,1.05,1.15,0.57,1,-0.43,7,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,LV,1.31,1.33,0.67,1,-0.43,6,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,LV,1.44,1.4,0.67,1,-0.48,6,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,LV,1.67,1.49,0.6,1,-0.48,5,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,LV,1.75,1.53,0.6,1,-0.48,5,1,Latvia,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,LV,1.76,1.15,0.5,1,0.03,4,1,Latvia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,LV,1.56,1.03,0.5,1,0,4,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,LV,1.04,1.04,0.75,1,0,8,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,LV,1.07,1.03,0.75,1,0.05,8,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,LV,0.72,0.79,0.57,1,-0.06,7,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,LV,0.77,0.74,0.57,1,-0.09,7,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,LV,0.71,0.73,0.67,1,-0.18,6,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,LV,0.63,0.71,0.5,1,-0.22,6,1,Latvia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,LV,0.84,0.97,0.8,1,-0.36,5,1,Latvia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,LV,0.95,1,0.8,1,-0.32,5,1,Latvia,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,MT,0.3,1.07,0.75,1,0.17,4,1,Malta,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,MT,0.37,1.07,0.75,1,0.1,4,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,MT,1.11,0.89,0.5,0.88,0.45,8,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,MT,0.96,0.79,0.5,0.88,0.31,8,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,MT,1.2,1,0.43,0.71,0.6,7,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,MT,1.02,0.89,0.29,0.71,0.51,7,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,MT,1.18,1.06,0.5,0.5,0.58,6,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,MT,0.97,0.93,0.5,0.5,0.5,6,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,MT,1.22,1.09,0.2,0.4,0.68,5,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,MT,0.97,0.94,0.4,0.4,0.64,5,1,Malta,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,MT,0.86,0.95,0.75,1,0.38,4,1,Malta,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,MT,0.95,0.95,0.75,0.75,0.32,4,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,MT,1.05,0.97,0.62,1,0.26,8,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,MT,1.11,0.93,0.75,1,0.25,8,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,MT,0.97,0.96,0.71,0.86,0.46,7,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,MT,0.99,0.96,0.71,1,0.39,7,1,Malta,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,MT,1.14,1.07,0.33,0.83,0.67,6,1,Malta,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,MT,1.17,1.04,0.33,0.83,0.58,6,1,Malta,2021-05-03
